预测结果_Y,Mean,Standard Deviation,Bandwidth,Energy,Entropy,Autocorrelation Peak,Peak Frequency,Autocorrelation Lag,Peak Value,Duration
5.68,0.0004443368328125,0.00773599819538229,-18,0.00384275861119692,0.218784935069335,0.00384275861119692,8,63,0.01743055,64
5.68,-5.26253109375003e-05,0.0116805843148417,-19,0.0087320844390065,-0.0709220611200871,0.0087320844390065,8,63,0.02351202,64
5.36,0.001577303434375,0.0111530454475446,-13,0.00812021176826146,0.617119491254916,0.00812021176826146,8,63,0.0314635,64
4.96,0.0025200986203125,0.0123179042932039,-23,0.0101172264468884,0.885210378421674,0.0101172264468884,8,63,0.03006035,64
7.24,0.001869618453125,0.00984872700884096,-23,0.00643154539871609,0.634478197939948,0.00643154539871609,8,63,0.03006035,64
5.0,0.0041573188203125,0.010610538831834,-23,0.00831147738083717,1.55488551344081,0.00831147738083717,0,63,0.0291248,64
6.4799999999999995,0.0053560265015625,0.00929945036287511,-25,0.00737067500396914,2.07805401848034,0.00737067500396914,0,63,0.02351202,64
5.0,0.0042012437703125,0.0113090368328126,-23,0.00931486485142408,1.61222753418282,0.00931486485142408,0,63,0.03754497,64
7.88,0.001789267984375,0.0102186987401638,-23,0.00688789016717667,0.683873668174216,0.00688789016717667,5,63,0.02585072,64
4.96,0.0021692514015625,0.0106568085759377,-23,0.00756948612271098,0.890890693520401,0.00756948612271098,8,63,0.02725387,64
5.92,-0.0014413471015625,0.0111005610725947,-18,0.00801919600598954,-0.627671347737434,0.00801919600598955,8,63,0.04596515,64
5.88,-0.0024353681734375,0.0102967512725262,-23,0.00716506271414154,-0.860850998580339,0.00716506271414154,1,63,0.01789833,64
4.959999999999999,-0.000768923378125,0.0106914987459488,-23,0.00735356087014728,-0.309170246699856,0.00735356087014728,8,63,0.02210796,64
7.24,0.002037711959375,0.0103294674156815,-23,0.00709441069574432,0.625331393780033,0.00709441069574432,8,63,0.03520627,64
5.4399999999999995,0.003791862040625,0.0106432916037928,-20,0.008170103929504,1.42896432758277,0.008170103929504,0,63,0.03286757,64
4.96,0.0023739692953125,0.0105755078819353,-23,0.00751853421926162,0.923545518293486,0.00751853421926162,8,63,0.0314635,64
4.64,0.0018257962734375,0.00855788431371466,-21,0.00490053862137739,0.768164526088355,0.00490053862137739,8,63,0.02164018,64
5.68,0.001642984940625,0.00919043399578636,-18,0.00557846249894568,0.663100884897506,0.00557846249894568,8,63,0.02351202,64
5.72,0.000451685846874999,0.010570906454414,-23,0.00716467733582332,0.209437255467613,0.00716467733582332,8,63,0.03333534,64
6.119999999999999,-0.0003230845640625,0.0101379273318691,-17,0.00658444507019477,-0.103948626398499,0.00658444507019477,8,63,0.02257646,64
4.96,0.00254937465625,0.00993749023819797,-23,0.00673619349582142,1.04345968726947,0.00673619349582142,8,63,0.0291248,64
5.720000000000001,0.00068556859375,0.0100667948150292,-21,0.00651586317725658,0.26727798049631,0.00651586317725658,8,63,0.03099572,64
5.64,-0.000600832840625,0.00929278885678839,-22,0.00554988318971034,-0.237545893070313,0.00554988318971034,8,63,0.02023703,64
4.959999999999999,-0.000593552453125,0.00958475769639164,-23,0.00590207261524157,-0.301343232150244,0.00590207261524157,8,63,0.02725387,64
